code_qual,date_ech
2,2022-03-02
2,2022-03-03
2,2022-03-04
4,2022-03-06
4,2022-03-07
3,2022-03-08
2,2022-03-09
2,2022-03-10
2,2022-03-11
2,2022-03-12
2,2022-03-13
2,2022-03-14
2,2022-03-15
3,2022-03-16
2,2022-03-16
2,2022-03-17
2,2022-03-18
2,2022-03-19
2,2022-03-20
2,2022-03-21
2,2022-03-22
3,2022-03-23
3,2022-03-24
4,2022-03-25
4,2022-03-26
3,2022-03-27
3,2022-03-28
3,2022-03-29
2,2022-03-30
3,2022-03-31
2,2022-04-01
2,2022-04-02
2,2022-04-03
2,2022-04-04
3,2022-04-04
2,2022-04-05
2,2022-04-06
2,2022-04-07
2,2022-04-08
2,2022-04-09
2,2022-04-10
2,2022-04-11
2,2022-04-12
2,2022-04-13
2,2022-04-14
3,2022-04-15
2,2022-04-16
3,2022-04-17
2,2022-04-18
2,2022-04-19
2,2022-04-20
3,2022-04-21
3,2022-04-22
2,2022-04-23
2,2022-04-24
2,2022-04-25
2,2022-04-26
2,2022-04-27
3,2022-04-28
2,2022-04-29
2,2022-04-30
2,2022-05-01
2,2022-05-02
3,2022-05-03
2,2022-05-04
2,2022-05-05
2,2022-05-06
2,2022-05-07
2,2022-05-08
3,2022-05-09
3,2022-05-10
3,2022-05-11
2,2022-05-12
2,2022-05-13
2,2022-05-14
2,2022-05-15
2,2022-05-16
3,2022-05-17
2,2022-05-18
2,2022-05-19
2,2022-05-20
2,2022-05-21
2,2022-05-22
2,2022-05-23
2,2022-05-24
2,2022-05-25
2,2022-05-26
2,2022-05-27
2,2022-05-28
2,2022-05-29
2,2022-05-30
3,2022-05-31
3,2022-06-01
2,2022-06-02
2,2022-06-03
2,2022-06-04
2,2022-06-05
2,2022-06-06
2,2022-06-07
2,2022-06-08
2,2022-06-09
2,2022-06-10
2,2022-06-11
2,2022-06-12
2,2022-06-13
3,2022-06-14
4,2022-06-15
4,2022-06-16
4,2022-06-17
4,2022-06-18
3,2022-06-19
3,2022-06-20
2,2022-06-21
2,2022-06-22
2,2022-06-23
2,2022-06-24
2,2022-06-25
2,2022-06-26
2,2022-06-27
2,2022-06-28
2,2022-06-29
2,2022-06-30
2,2022-07-01
2,2022-07-03
2,2022-07-04
2,2022-07-05
3,2022-07-06
2,2022-07-07
3,2022-07-08
3,2022-07-09
3,2022-07-10
2,2022-07-11
3,2022-07-12
4,2022-07-13
4,2022-07-14
3,2022-07-16
3,2022-07-17
4,2022-07-18
3,2022-07-19
2,2022-07-20
2,2022-07-21
3,2022-07-22
2,2022-07-23
3,2022-07-24
2,2022-07-25
2,2022-07-26
2,2022-07-27
3,2022-07-28
3,2022-07-29
3,2022-07-30
2,2022-07-31
2,2022-08-01
2,2022-08-02
3,2022-08-03
3,2022-08-04
2,2022-08-05
3,2022-08-06
3,2022-08-07
3,2022-08-08
4,2022-08-09
4,2022-08-10
4,2022-08-11
4,2022-08-12
4,2022-08-13
3,2022-08-14
3,2022-08-15
2,2022-08-16
2,2022-08-17
3,2022-08-18
2,2022-08-19
2,2022-08-20
2,2022-08-21
2,2022-08-22
2,2022-08-23
2,2022-08-24
3,2022-08-25
2,2022-08-26
3,2022-08-27
3,2022-08-28
3,2022-08-29
3,2022-08-30
3,2022-08-31